genres,title
Comedy|Horror|Thriller,523
Adventure|Sci-Fi,1230
Action|Adventure|Drama,4884
Documentary|Sci-Fi,20
Action|Adventure|Fantasy|Romance,12
Adventure|Fantasy,7576
Adventure|Drama|Romance|Thriller|War,1065
Animation|Drama,14
Crime,85
Adventure|Documentary|Drama,2
Crime|Drama|Thriller,10579
Romance,155
Action|Drama,9257
Crime|Thriller,1923
Drama|Mystery|Sci-Fi|Thriller,10960
Action|Sci-Fi,851
Comedy|Drama|Horror|Sci-Fi,12
Thriller,20960
Action|Adventure|Fantasy,1713
Documentary|Drama|Thriller,3
Romance|Thriller,107
Comedy|Fantasy|Romance,46
Adventure|Children|Comedy|Mystery,68
Drama|Fantasy|Romance|Sci-Fi,3
Comedy|Drama|Fantasy|Romance,4356
Action|Crime|Drama|Romance,52
Action|Crime|Mystery|Thriller,1935
Animation|Children,998
Action|Horror|Mystery|Sci-Fi|Thriller,13
Comedy|Horror|Romance,22
Comedy|Drama|Musical,41
Drama|Film-Noir|Mystery|Romance,538
Drama|Musical|Romance,1324
Adventure|Comedy|Thriller,976
Animation|Children|Comedy|Romance,13
Comedy|Horror,15901
Adventure|Animation|Fantasy,6
Children|Comedy|Crime|Musical,335
Crime|Horror|Thriller,429
Adventure|Comedy|Sci-Fi,3571
Adventure|Children,1730
Comedy|Drama|Horror|Sci-Fi|Thriller,1503
Action|Thriller|War,2
Action|Adventure|Fantasy|Thriller,13202
Horror|War|Western,67
Action|Animation|Sci-Fi,6
Action|Adventure|Fantasy|Horror,561
Action|Adventure|Animation|Children|Comedy|Sci-Fi,70
Action|Crime|Thriller,2645
Crime|Drama,10474
Romance|Sci-Fi,561
Documentary|Drama,33
Fantasy|Sci-Fi,7
Comedy|Musical|Romance,4741
Documentary|Thriller,51
Adventure|Animation|Comedy,9
Action|Adventure|Animation|Fantasy,55
Comedy|Drama|Mystery|Thriller,3
Drama|Horror|Thriller,1034
Action|Drama|Horror|Sci-Fi|Thriller,1160
Action|Comedy|Thriller,2
Adventure|Drama|Romance|Sci-Fi,0
Children|Fantasy|Sci-Fi,19
Adventure|Drama|Fantasy,31
Horror|Sci-Fi,4051
Drama|Horror|Romance,13
Drama|Mystery|War,7
Adventure,145
Comedy|War,28
Crime|Film-Noir|Horror|Romance|Thriller,24
Fantasy|Horror|Sci-Fi|Thriller,5
Action|Adventure|Romance|War,28
Comedy|Drama|Horror,29
Children|Fantasy,19
Adventure|Children|Sci-Fi|Thriller,78
Adventure|Romance,4
Comedy|Sci-Fi|Thriller,9
Adventure|Comedy|Drama,48
Comedy|Fantasy|Romance|Sci-Fi,52
Animation|Musical|Romance,75
Action|Adventure|Crime|Mystery,5
Animation|Drama|Western,30
Fantasy|Horror,97
Fantasy|Thriller,2
Adventure|Animation|Comedy|Fantasy|Romance,17
Action|Adventure|Comedy|Western,13
Drama|Fantasy|Musical,11
Drama,75276
Comedy|Crime|Drama|Romance|Thriller,412
Animation|Musical,80
Animation|Comedy|Mystery,4
Film-Noir|Horror|Thriller,39
Documentary|Mystery,608
Action|Comedy|Crime|Romance,33
Children|Fantasy|Romance,2
Adventure|Crime|Thriller,2
Mystery|Thriller,724
Action|Adventure|Comedy|Crime,35
War,304
Animation|Drama|Horror|Thriller,9
Documentary,17375
Action|Adventure|Crime,1
Crime|Film-Noir|Mystery,5
Animation|Children|Musical|IMAX,4987
Adventure|Children|Drama|Fantasy|Romance,34
Action|Drama|Fantasy,32
Comedy|Musical|Romance|War,8
Animation|Children|Comedy,511
Comedy|Documentary,2108
Comedy|Crime|Romance,507
Adventure|Children|Drama,1653
Action|Mystery,14
Drama|Romance|War|Western,18160
Action|Comedy|Crime|Drama,7
Romance|Western,37
Action|Fantasy|Horror|Thriller,724
Horror|Thriller,12366
Adventure|Animation|Sci-Fi,3352
Action|Adventure|Children,804
Sci-Fi|Thriller,469
Action|Drama|War|Western,2
Drama|Fantasy,182
Action|Adventure|Horror|Sci-Fi|Thriller,11
Action|Adventure|Comedy|Fantasy,68
Horror|Sci-Fi|Thriller,2352
Action|Comedy|Crime|Drama|Thriller,0
Animation|Comedy|Thriller,7
Action|Adventure|Fantasy|Sci-Fi,6111
Action|Animation|Fantasy|Sci-Fi,1
Animation|Comedy|Sci-Fi,10
Action|Children|Fantasy|Musical,8
Action|Drama|War,745
Adventure|Comedy|Fantasy,694
Comedy|Crime,7728
Comedy|Drama|War,689
Crime|Drama|Film-Noir|Thriller,9229
Drama|Horror|Mystery|Thriller,87
Drama|Romance|War,340
Horror|Romance|Thriller,6
Action|Horror|Sci-Fi,1980
Action|Adventure|Sci-Fi,7777
Crime|Drama|Horror|Thriller,17
Crime|Documentary,3
Fantasy|Horror|Sci-Fi,18
Adventure|Thriller,4
Adventure|Drama|Western,24
Adventure|Children|Comedy|Drama|Fantasy,6
Musical|Romance,3
Action|Comedy|Western,0
Drama|Horror|Mystery|Sci-Fi,7
Action|Fantasy|Sci-Fi,31
Fantasy,42
Action|Comedy|Fantasy|Sci-Fi,1
Children|Drama,2833
Comedy|Crime|Thriller,4
Crime|Horror|Mystery|Thriller,113
Children|Comedy,22677
Adventure|Comedy,137
Adventure|Comedy|Crime|Drama|Romance|Thriller,2
Action|Comedy|Crime|Western,439
Crime|Drama|Mystery|Romance|Thriller,2390
Action|Horror|Sci-Fi|Thriller|IMAX,16118
Action|Drama|Thriller,6298
Crime|Romance|Thriller,4
Animation|Comedy|Fantasy,7
Drama|Romance,20948
Action|Sci-Fi|Thriller,21595
Horror|Romance,170
Adventure|Horror|Thriller,10
Action|Adventure,2348
Action|Adventure|Comedy|Fantasy|Sci-Fi,3
Animation|Comedy|Crime,2
Drama|Sci-Fi|Thriller,388
Action|Documentary|Drama|Romance|War,0
Action|Romance,38
Comedy|Crime|Drama,2403
Adventure|Documentary,5
Action|Horror,1206
Drama|Film-Noir|Horror|Mystery,94
Action|Sci-Fi|IMAX,11982
Animation|Comedy,10
Action|Comedy|Sci-Fi,25
Action|Romance|Western,15
Crime|Mystery,267
Adventure|Drama|Romance,640
Drama|Horror|Musical|Thriller,28
Documentary|War,31
Animation|Thriller,6
Horror|Mystery,581
Children|Comedy|Romance,3
Drama|Sci-Fi|Thriller|IMAX,2179
Comedy|Fantasy|Musical,2
Comedy|Romance,21896
Action|Adventure|Drama|Romance|War,33
Horror|Mystery|Sci-Fi|Thriller,33
Action|Adventure|Crime|Drama|Thriller,21559
Children|Comedy|Sci-Fi,111
Adventure|Fantasy|Romance,17
Comedy|Fantasy|Horror,274
Children|Sci-Fi,1
Mystery,18
Fantasy|Horror|Mystery|Thriller,380
Adventure|Drama,698
Adventure|Crime|Mystery|Romance|Thriller,2
Mystery|Romance|Thriller,4
Comedy|Crime|Horror,0
Comedy|Mystery|Romance|Thriller,3
Children|Comedy|Drama,2065
Comedy|Drama|Fantasy,882
Action|Adventure|Children|Crime|Mystery|Thriller,179
Comedy|Drama|Mystery|Romance,1127
Children|Drama|Fantasy|Romance,1140
Adventure|Comedy|Sci-Fi|Western,2
Comedy|Western,266
Adventure|Drama|Sci-Fi,8
Action|Crime|Sci-Fi|Thriller,133
Adventure|Children|Sci-Fi,569
Adventure|Drama|Romance|Western,1
Animation|Children|Musical|Romance,12
Musical,48
Drama|Fantasy|Mystery|Romance|Sci-Fi,17
Adventure|Fantasy|Sci-Fi,15
Action|Crime|Horror|Mystery|Thriller,864
Comedy|Crime|Drama|Thriller,7094
Children|Romance,16
Action|Crime,125
Animation,300
Action|Drama|Romance,8
Drama|Western,2561
Action|Adventure|Children|Comedy,15
Adventure|Animation|Children|Fantasy,92
Crime|Mystery|Thriller,354
Comedy|Crime|Drama|Romance,403
Action|Children|Fantasy,424
Action|Adventure|Crime|Drama|Mystery|Thriller,12
Drama|Fantasy|Sci-Fi|Thriller,401
Children|Drama|Thriller,37
Adventure|Animation|Children|Musical,1513
Adventure|Children|Drama|Fantasy|Mystery,15
Children|Comedy|Fantasy|Sci-Fi,65
Animation|Comedy|Drama,2701
Crime|Drama|Mystery|Thriller,574
Action|Children|Comedy|Drama,3
Drama|Film-Noir|Thriller,2448
Action|Adventure|Thriller,7226
Action|Horror|Sci-Fi|Thriller,7848
Crime|Horror|Sci-Fi,3
Drama|Horror|Sci-Fi,5
Action|Comedy|Drama|Horror|Romance,0
Film-Noir|Thriller,388
Action|Thriller,5636
Comedy|Crime|Mystery,9
Action|Horror|Mystery|Thriller,84
Drama|Horror|Romance|Thriller,79
Adventure|Children|Comedy|Fantasy,97
Drama|Fantasy|Romance,4190
Action|Adventure|Sci-Fi|IMAX,6402
Drama|Musical,281
Animation|Comedy|War,1
Adventure|Romance|War,9
Animation|Documentary,0
Adventure|Animation|Children|Comedy|Sci-Fi,1
Comedy|Sci-Fi,19864
Action|Comedy|Documentary,809
Action|Animation|Crime,19
Action|Comedy|Romance,16882
Animation|Children|Romance,1
Action|Adventure|Fantasy|Horror|Thriller,620
Action|Drama|Sci-Fi,5
Action|Crime|Drama|Romance|Thriller,92
Children|Comedy|Fantasy,5
Action|Adventure|Horror|Sci-Fi,15
Action|Comedy|Horror,14
Adventure|Animation|Children|Comedy,2632
(no genres listed),626
Crime|Drama|Film-Noir,204
Drama|Horror|Romance|Sci-Fi|Thriller,5
Drama|Mystery|Thriller,2098
Action|Adventure|Sci-Fi|Thriller,19668
Adventure|Children|Comedy,18
Fantasy|Mystery,94
Action|Comedy,4304
Action|Crime|Drama,18409
Action|Animation|Fantasy,4
Action|Adventure|Fantasy|War,271
Adventure|Animation|Children|Comedy|Romance,136
Action|Children|Crime|Drama|Thriller,9
Drama|War,16360
Comedy|Drama|Mystery|Romance|Thriller,25
Action|Adventure|Drama|Western,7
Drama|Thriller,30421
Fantasy|Musical,164
Action|Adventure|Drama|Romance|Western,2
Crime|Drama|Mystery,83
Children|Mystery,98
Comedy|Drama|Romance|War,8
Adventure|Documentary|Drama|Mystery|Thriller,5
Drama|Fantasy|War,30
Drama|Sci-Fi,95
Action|Adventure|Animation|Children|Comedy|IMAX,3130
Drama|Horror,249
Action|Drama|Western,20
Crime|Horror,8
Horror|Mystery|Sci-Fi,4108
Horror,15040
Comedy|Fantasy,350
Animation|Drama|Fantasy,91
Adventure|Children|Comedy|Drama,9
Action|Comedy|Fantasy,33
Animation|Children|Drama,9263
Crime|Mystery|Romance|Thriller,5682
Crime|Drama|Western,2145
Documentary|IMAX,6
Action|Crime|Drama|Mystery|Thriller,20
Adventure|Crime|Drama|Thriller,71
Adventure|Drama|Thriller|War,68
Drama|Fantasy|Horror|Sci-Fi,3
Children|Documentary,7
Action|Adventure|Animation|Fantasy|Sci-Fi,369
Adventure|Western,9
Action|Animation|Children|Sci-Fi,423
Crime|Fantasy|Mystery,1
Drama|Thriller|War,1850
Comedy|Musical,3518
Crime|Drama|Fantasy,13
Action|Adventure|Comedy|Sci-Fi,8271
Action|Comedy|Crime|Thriller,673
Western,600
Action|Adventure|Comedy|Drama|Thriller,236
Drama|Fantasy|Horror,88
Action|Adventure|Children|Comedy|Fantasy,1
Action|Horror|Thriller,227
Action|Adventure|Drama|Romance,88
Horror|Mystery|Thriller,1437
Animation|Fantasy,11
Drama|Film-Noir,207
Fantasy|Musical|Romance,437
Action|Children|Comedy|Crime|Drama|Romance,9
Drama|Mystery,30092
Comedy|Drama|Thriller,568
Fantasy|Horror|Thriller,6475
Adventure|Comedy|Fantasy|Sci-Fi,3
Comedy|Horror|Sci-Fi,199
Comedy|Drama|Musical|Romance,47
Comedy,78801
Comedy|Crime|Mystery|Thriller,5388
Animation|Children|Fantasy,429
Children,16
Action|Adventure|Animation,13
Action|Adventure|Comedy,228
Drama|Fantasy|Mystery,1691
Drama|Romance|Thriller,3
Action|Comedy|Crime,1219
Action,3785
Children|Drama|Fantasy|Mystery,4314
Documentary|Musical,212
Adventure|Animation|Children,186
Crime|Drama|Romance,2304
Action|Adventure|Animation|Children,6
Action|Mystery|Thriller,665
Drama|Horror|Mystery,1203
Action|Western,1092
Comedy|Thriller,1172
Action|Adventure|Comedy|Crime|Drama,5
Animation|Sci-Fi,396
Comedy|Drama|Romance,23116
Comedy|Romance|Western,2
Sci-Fi,8557
Children|Drama|Romance,1
Adventure|Comedy|Romance,172
Comedy|Crime|Drama|Mystery,7
Children|Drama|Fantasy|Horror|Mystery|Thriller,9
Crime|Drama|Film-Noir|Romance|Thriller,19
Comedy|Documentary|Drama,5
Adventure|Drama|War|Western,26
Crime|Horror|Mystery,9
Action|Fantasy|Horror,4
Crime|Film-Noir|Thriller,9
Action|Crime|Drama|Thriller,11918
Action|Adventure|Drama|War,727
Animation|Crime|Drama|Fantasy|Thriller,37
Comedy|Drama,36859
Drama|Mystery|Romance,626
Action|Comedy|Drama|Thriller,25
